text_id,uid,text_date
392,44,6/12/2020
393,83,6/12/2020
394,102,6/12/2020
395,12,6/12/2020
396,12,6/12/2020
397,84,6/12/2020
398,74,6/12/2020
399,30,6/12/2020
400,86,6/12/2020
401,68,6/12/2020
402,98,6/12/2020
403,9,6/12/2020
404,89,6/12/2020
405,61,6/12/2020
406,46,6/12/2020
407,50,6/12/2020
408,3,6/12/2020
409,61,6/12/2020
410,42,6/12/2020
411,60,6/12/2020
412,47,6/12/2020
413,61,6/12/2020
414,30,6/12/2020
415,93,6/12/2020
416,76,6/12/2020
417,77,6/12/2020
418,97,6/12/2020
419,13,6/12/2020
420,13,6/12/2020
421,101,6/12/2020
422,63,6/12/2020
423,67,6/12/2020
424,50,6/12/2020
425,77,6/12/2020
426,84,6/12/2020
427,92,6/12/2020
428,87,6/12/2020
429,64,6/12/2020
430,92,6/12/2020
431,65,6/12/2020
432,65,6/12/2020
433,101,6/12/2020
434,87,6/12/2020
435,62,6/12/2020
436,30,6/12/2020
437,57,6/12/2020
438,66,6/12/2020
439,84,6/12/2020
440,63,6/12/2020
441,7,6/12/2020
442,62,6/12/2020
443,47,6/12/2020
444,89,6/12/2020
445,94,6/12/2020
446,92,6/12/2020
447,98,6/12/2020
448,100,6/12/2020
449,7,6/12/2020
450,65,6/12/2020
451,78,6/12/2020
452,29,6/12/2020
453,66,6/12/2020
454,95,6/12/2020
455,11,6/12/2020
456,44,6/12/2020
457,87,6/12/2020
458,95,6/12/2020
459,78,6/12/2020
460,81,6/12/2020
461,75,6/12/2020
462,75,6/12/2020
463,16,6/12/2020
464,86,6/12/2020
465,26,6/12/2020
466,44,6/12/2020
467,89,6/12/2020
468,29,6/12/2020
469,64,6/12/2020
470,57,6/12/2020
471,42,6/12/2020
472,91,6/12/2020
473,81,6/12/2020
474,57,6/12/2020
475,93,6/12/2020
476,92,6/12/2020
477,42,6/12/2020
478,81,6/12/2020
479,101,6/12/2020
480,78,6/12/2020
481,70,6/12/2020
482,9,6/12/2020
483,84,6/12/2020
484,67,6/12/2020
485,94,6/12/2020
486,90,6/12/2020
487,3,6/12/2020
488,61,6/12/2020
489,94,6/12/2020
490,74,6/12/2020
491,73,6/12/2020
492,94,6/12/2020
493,29,6/12/2020
494,83,6/12/2020
495,60,6/12/2020
496,47,6/12/2020
497,27,6/12/2020
498,93,6/12/2020
499,79,6/12/2020
500,95,6/12/2020
501,90,6/12/2020
